SG_FUN;CD_CLASSIFICACAO_MAN;DS_SER;DS_SSE;DS_RESUMO_MAN;DS_NOTAS_MAN;DS_PERIODO_PRODUCAO_MAN;AnoProducaoDe;AnoProducaoAte;NR_DOCUMENTOS_TIPO_MAN;DESCRITORES
AAS;1973.11.20;Ministro das Relações Exteriores;Assuntos gerais;Documentos felicitando Azeredo da Silveira pela nomeação para a pasta das Relações Exteriores, incluindo agradecimentos do titular às congratulações, os livros da cerimônia de posse do presidente da República Ernesto Geisel e da transferência de cargo de ministro, e o discurso de posse de Azeredo da Silveira.;A data do dossiê é anterior à posse de Azeredo da Silveira no MRE, devido a escolha do seu nome ter sido divulgada quando este ainda estava na Embaixada em Buenos Aires.;20.11.1973 a 00.00.1974;1973;1974;1832;"Felicitações e congratulações; Ministério das Relações Exteriores; Antônio Azeredo da Silveira; Agradecimentos; Diplomação e posse ; "
AAS;1974.01.16;Ministro das Relações Exteriores;Assuntos gerais;"Documentos referentes às diretrizes da política externa brasileira durante a gestão de Azeredo da Silveira como ministro das Relações Exteriores. A documentação é composta por relatórios, trabalhos e discursos do titular, nos quais aparece o caráter pragmático impresso à política externa desse período. Destacam-se documentos analisando a posição do Brasil em face à política americana relativa à Antardida e o relatório ""Realizações do Governo Geisel 1974-1979"" (pastas III e IV) abordando aspectos econômicos, políticos e culturais da política externa brasileira.";Constam anexos ao dossiê trabalhos e legislação sobre a política externa brasileira dos governos militares anteriores.  ;16.01.1974 a 00.03.1979;1974;1979;1116;"Acordos e tratados internacionais; Brasil; Cooperação internacional; Governo Ernesto Geisel (1974-1979); Organização das Nações Unidas; Oriente Médio; Política externa; Relações internacionais; Segurança nacional; Antártida; "
AAS;1974.01.22;Ministro das Relações Exteriores;Assuntos gerais;"Documentos referentes às questões burocráticas e administrativas do Itamaraty durante a atuação de Azeredo da Silveira como ministro das Relações Exteriores. O dossiê é constituído, primordialmente, por correspondência entre o titular e funcionários do Itamaraty. Tratam de viagens de trabalho, férias, transferência e remoções; credenciamentos de funcionários no exterior; quadro de acesso; auxílio consular a brasileiros no exterior; construção de moradia para os funcionários em Brasília; orçamento para o Ministério; criação e suprimento de cargos nas embaixadas; conservação do monumento brasileiro em Pistóia (Itália);  e processos administrativos de funcionários. Inclui ainda avisos (correspondência entre Ministros) contendo orientações do governo para o Ministério das Relações Exteriores e para a administração pública em geral.";NULL;22.01.1974 a 00.00.1979;1974;1979;1346;"Assuntos administrativos; Burocracia; Carreira diplomática; Finanças públicas; Ministério das Relações Exteriores; Representação diplomática; Instituições diplomáticas; "
AAS;1974.03.00/1;Ministro das Relações Exteriores;Assuntos gerais;Documentos referentes às relações sociais de Azeredo da Silveira durante sua gestão como ministro das Relações Exteriores. O dossiê é constituído, primordialmente, por correspondência entre o titular e diversas personalidades políticas, contendo felicitações, convites para eventos sociais, condolências, e pedidos encaminhados a Azeredo da Silveira e vice-versa, em sua maioria relacionados a empregos e cargos.;NULL;00.03.1974 a 00.03.1979;1974;1979;476;"Pedidos e solicitações; Antônio Azeredo da Silveira; Agradecimentos; Pêsames e condolências; Eventos e comemorações sociais; "
AAS;1974.03.00/2;Ministro das Relações Exteriores;Assuntos gerais;Documentos referentes à atuação de Azeredo da Silveira como ministro das Relações Exteriores em diversos assuntos, tais como relatório sobre a Fundação de Amizade dos Povos e Comunidades de Língua Portuguesa, política demográfica brasileira, economia brasileira, o Programa Nacional de Álcool, entre outros. Inclui ainda documentos relativo a condecorações de personalidades brasileiras e estrangeiras pelo governo do Brasil e do próprio titular.;NULL;00.03.1974 a 10.03.1979;1974;1979;272;"Alcool; Economia; Homenagens e condecorações; "
AAS;1974.03.13;Ministro das Relações Exteriores;Assuntos gerais;Agenda com os compromissos diários de Azeredo da Silveira durante sua gestão na pasta das Relações Exteriores. O dossiê inclui uma relação de diplomatas e personalidades recebidas nesse período e a listagem dos discursos e pronunciamentos proferidos pelo titular.;NULL;13.03.1974 a 23.12.1978;1974;1979;1236;"Assuntos administrativos; Viagens e visitas; Ministério das Relações Exteriores; Agendas e despachos; "
AAS;1974.03.15;Ministro das Relações Exteriores;Assuntos gerais;Discursos proferidos por Azeredo da Silveira e outras personalidades políticas nas mais diversas ocasiões no decorrer da sua gestão no Ministério das Relações Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasiões de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Marítimo com a Argélia (13/04/1976).;Das 7 pastas, 6 dizem respeito a documentos encadernados que, devido a sua espessura, não puderam ser colocados dentro das pastas, encontrando-se, fisicamente, no final do arquivo.;15.03.1974 a 13.03.1979;1974;1979;2052;"Acordos e tratados internacionais; China; Congressos e conferências; Homenagens e condecorações; Japão; Paraguai; Política externa; Recursos naturais; Argélia; Eventos e comemorações sociais; Bacia do Prata; "
AAS;1974.03.25;Ministro das Relações Exteriores;Assuntos gerais;"Documentos referentes à atuação de Azeredo da Silveira como Ministro das Relações Exteriores nas questões de segurança nacional. A documentação é constiuída por correspondência, informações dos órgãos de segurança e avisos, entre outros, tratando: da participação de exilados políticos brasileiros no Tribunal Bertrand Russel II, realizado, em Roma, em março de 1974; do ""turismo ideológico"" de estudantes brasileiros na China; do não reconhecimento da Anistia Internacional pelo governo brasileiro; da participação de João Goulart no movimento político ""Complot de Outubro""; do processo de comunização da Guiana e seus reflexos no Brasil; dos movimentos no exterior a favor da anistia no Brasil; da revogação do asilo de Leonel Brizola no Uruguai; da questão dos direitos humanos no Brasil; da participação de membros da Igreja em questões políticas e do Estado; e das relações entre o Brasil e os países do Leste europeu no campo político, tecnológico, comercial e cultural. Destaque para a intervenção do governo brasileiro na libertação de Flávia Schilling presa, no Uruguai, sob acusações de crimes políticos.";NULL;25.03.1974 a 13.03.1979;1974;1979;986;"América Latina; Anistia Internacional; Anticomunismo; Brasil; Chile; Comunismo; Direitos humanos; Exílio; Governo Ernesto Geisel (1974-1979); Governos militares (1964-1985); Ideologia; João Goulart; Leonel Brizola; Relações interamericanas; Segurança nacional; Serviço Nacional de Informações; Igreja e Estado; Militares e estado; Guiana; "
AAS;1974.05.27;Ministro das Relações Exteriores;Assuntos gerais;Palestras e conferências proferidas por Azeredo da Silveira como ministro das Relações Exteriores, em diversas instituições como a Escola Superior de Guerra, a Escola de Guerra Naval, faculdades e universidades, entre outras. Inclui conferências pronunciadas por ocasião de abertura ou encerramento dos trabalhos de diversas comissões da Câmara dos Deputados e do Senado Federal.;As 3 pastas dizem respeito a documentos encadernados e encontram-se localizados, fisicamente, no final do arquivo.;27.05.1974 a ;1974;1979;863;"Política externa; "
AAS;1977.07.00;Ministro das Relações Exteriores;Assuntos gerais;Documentos referentes aos cursos oferecidos pelo Itamaraty durante a atuação de Azeredo da Silveira como ministro das Relações Exteriores. Trata-se do Curso de Aperfeiçoamento de Diplomatas (CAD) sobre administração pública federal e do Curso de Altos estudos (CAE) sobre desenvolvimento regional do Brasil, ambos em julho de 1977.;As 2 pastas dizem respeito a documentos encadernados e encontram-se fisicamente localizados no final do arquivo.;00.07.1977;1977;1977;1451;"Administração federal; Administração pública; Amazonas; Brasil; Desenvolvimento regional; Ministério das Relações Exteriores; Região Nordeste; Regionalismo; "
AAS;1977.11.25;Ministro das Relações Exteriores;Assuntos gerais;Documentos referentes às entrevistas concedidas por Azeredo da Silveira, durante sua atuação como ministro das Relações Exteriores, abordando temas da política externa brasileira e da política internacional, com ênfase nas relações do Brasil com a África e com a América Latina.;NULL;25.11.1977 a 00.00.1978;1977;1978;70;"Itaipú Binacional; Política externa; Relações internacionais; Representação diplomática; Política internacional; Senegal; Angola; "
AAS;1978.08.30;Ministro das Relações Exteriores;Assuntos gerais;Documentos referentes à eleição de João Batista Figueiredo para presidente da República, incluindo as contribuições do ministro Azeredo da Silveira, para o próximo governo, nas questões referentes à política externa. Destaque para a exposição elaborada por Azeredo da Silveira sobre a política externa brasileira, no cenário mundial, durante a sua gestão.;" Consta anexo ao dossiê o trabalho ""Novas Perspectivas da Política Externa Brasileira, 1979-1985"", de autoria de Roberto Campos, candidato a vaga de ministro.";30.08.1978 a 00.03.1979;1978;1979;135;"João Batista de Oliveira Figueiredo; Política externa; Diplomação e posse ; "
AAS;1979.01.12;Ministro das Relações Exteriores;Assuntos gerais;Documentos felicitando Azeredo da Silveira pela atuação como ministro das Relações Exteriores, incluindo seu discurso proferido por ocasião da transmissão do cargo ao novo ministro Ramiro Saraiva Guerreiro.;A data do dossiê ultrapassa a gestão de Azeredo da Silveira no Ministério das Relações Exteriores porque ao assumir a embaixada em Washington ele continuou recebendo telegramas de felicitações pelá sua gestão no MRE.;12.01.1978 a 00.06.1979;1978;1979;143;"Felicitações e congratulações; Ministério das Relações Exteriores; Antônio Azeredo da Silveira; Agradecimentos; Elogios e críticas; Diplomação e posse ; "
