Título;Classificação;URL
Documentos referentes a assuntos gerais durante o período em que Azeredo da Silveira esteve a frente da delegação brasileira em Genebra. O dossiê contem informações sobre pedidos de compra de material e inventários anuais dos bens móveis da chancelaria e da residência do titular. Consta ainda do dossiê, documentos relativos às diretrizes políticas e econômicas para a delegação e relatórios sobre a Reunião dos Embaixadores Brasileiro na Europa Ocidental.;AAS del 1966.04.13;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-assuntos-gerais-durante-o-periodo-em-que-azeredo-da-silveira-esteve-a-frente-da-delegacao-brasileira-em-genebra-o-dossie-c
"Documentos referentes à Conferência do Comitê das Dezoito Nações sobre o Desarmamento (ENDC) no período em que Azeredo da Silveira atuava como chefe da Delegação Brasileira em Genebra. O dossiê é constituído de ofícios, telegramas, comunicados, projetos, emendas, discursos e entrevistas do embaixador, além de estudos e relatórios sobre a questão do desarmamento e, mais particularmente, da discussão, aprovação e assinatura do Tratado de Não Proliferação de Armamentos Nucleares. Contém informações sobre a posição do Brasil, enquanto país não-alinhado, ao longo da Conferência, que se resume em dois pontos básicos: defesa do uso da energia nuclear para fins pacíficos e segurança para os países não nuclearizados. Destaca-se, nesse sentido, o relatório do acessor técnico da delegação brasileira (07/06/1967); o disurso pronunciado por Azeredo da Silveira em uma das sessões da ENDC, em Genebra (04/07/1967) e relatório sobre conferência realizada em agosto de 1968 para aprovar o projeto de TNP apresentado pelos EUA e URSS.";AAS del 1966.01.27;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-conferencia-do-comite-das-dezoito-nacoes-sobre-o-desarmamento-endc-no-periodo-em-que-azeredo-da-silveira-atuava-como-chefe
"Documentos referentes ao período em que Azeredo da Silveira chefiou a delegação brasileira nas ""Negociações Kennedy"" e nas XXIV e XXV Sessões das Partes Contratantes do Acordo Geral sobre Tarifas Aduaneiras (GATT). Os discursos, telegramas e relatórios que compõem o dossiê, dão conta dos debates e discussões dos países participantes, cujo objetivo consistia basicamente na tentativa de expansão do comércio internacional e na consequente aceleração do desenvolvimento econômico, prejudicados, sobretudo, pelas constantes crises pelas quais passavam os países subdesenvolvidos.";AAS del 1966.03.24;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-ao-periodo-em-que-azeredo-da-silveira-chefiou-a-delegacao-brasileira-nas-negociacoes-kennedy-e-nas-xxiv-e-xxv-sessoes-das-pa
Documentos relativos à atuação de Azeredo da Silveira no Comitê Intergovernamental para Migrações Européias (CIME) contendo informações sobre os principais acontecimentos da XXVIII Sessão do Comitê Executivo da, XXVI Sessão do Conselho e da parte final da XIV Sessão do Subcomitê de Orçamento e Finanças.;AAS del 1966.09.21;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-atuacao-de-azeredo-da-silveira-no-comite-intergovernamental-para-migracoes-europeias-cime-contendo-informacoes-sobre-os-pri
"Documentos referentes à atuação de Azeredo da Silveira enquanto chefe da Delegação Brasileira em Genebra, em acordos entre o Brasil e outros países, para evitar dupla tributação sobre impostos. O dossiê contém acordo entre Brasil e Japão, Brasil e EUA, e Brasil e Noruega. Consta, ainda, do dossiê, documento intitulado ""Principais Tratados Multilaterais Ratificados pelo Brasil"".";AAS del 1967.01.24;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-enquanto-chefe-da-delegacao-brasileira-em-genebra-em-acordos-entre-o-brasil-e-outros-paises
Documentos referentes à atuação de Azeredo da Silveira enquanto chefe da Delegação Brasileira Permanente em Genebra, na reunião da Organização Internacional do Café, ocorrida entre os dias 20 de novembro de 01 de dezembro de 1967, com o objetivo de formular um novo acordo internacional do café. Destaca-se a documentação sobre a reação dos Estados Unidos às resoluções propostas pelo governo brasileiro, alegando que a política de comercialização brasileira constituía concorrência desleal e sobre o Grupo de Trabalho formado por Brasil, Colômbia, Guatemala e Equador, na referida reunião. O dossiê é constituído, basicamente, de relatórios.;AAS del 1967.11.03;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-enquanto-chefe-da-delegacao-brasileira-permanente-em-genebra-na-reuniao-da-organizacao-inte
Documentos acumulados por Azeredo da Silveira durante o período em que chefiou a Delegação Brasileira Permanente em Genebra. O dossiê é constiuído por um conjunto de trabalhos encaminhados ao titular pelo chefe do Departamento de Comunicação do Ministério das Relações Exteriores, que consistem numa avaliação da Secretaria de Estado, sobretudo das missões no exterior, visando um melhor desempenho e coordenação de atividades. ;AAS del 1968.10.14;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-acumulados-por-azeredo-da-silveira-durante-o-periodo-em-que-chefiou-a-delegacao-brasileira-permanente-em-genebra-o-dossie-e-constiuido-
Documentos referentes à atuação de Azeredo da Silveira como chefe da Delegação Brasileira em Genebra nas reuniões da Comissão Especial de Coordenação Latino-Americana (CECLA), ocorridas de 17 a 26 de junho de 1968, em São Domingos, com o principal objetivo de criar uma estratégia de ação da América Latina frente aos problemas relacionados ao comércio e ao desenvolvimento. Vale lembrar que a CECLA se insere num contexto pós II UNCTAD e que por isso a ação dos países latino-americanos segue a política do Grupo dos 77 países em desenvolvimento.;AAS del 1968.05.28;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-como-chefe-da-delegacao-brasileira-em-genebra-nas-reunioes-da-comissao-especial-de-coordena
Documentos referentes a atuação de Azeredo da Silveira, como secretário geral, na II Conferência Interamericana Extraordinária ocorrida no Rio de Janeiro entre 17/11/1965 e 30/11/1965, com o objetivo de analisar a possibilidade de fortalecimento do sistema interamericano, cuja estrutura exigia revisão e atualização. Para tanto, tornava-se necessário a reforma da Carta da Organização dos Estados Americanos-OEA, visando a adaptá-la à realidade do continente. Participaram da II CIE os seguintes países: Argentina, Bolívia, Brasil, Colômbia, Costa Rica, Chile, Equador, El Salvador, Estados Unidos, Guatemala, Haiti, Honduras, México, Nicaragua, Panamá, Paraguai, Perú, República Dominicana e Uruguai. Consta do dossiê, informes da imprensa sobre a preparação e a realização do evento e a Ata do Rio de Janeiro, documento final da II CIE, que informa sobre a criação de uma Comissão Especial, a ser sediada no Panamá, para elaboração de um ante-projeto de reforma da Carta.;AAS oea 1965.02.04;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-como-secretario-geral-na-ii-conferencia-interamericana-extraordinaria-ocorrida-no-rio-de-ja
"Documentos referentes à participação de Azeredo da Silveira, como chefe da Delegação Brasileira na Comissão Especial da Organização dos Estados Americanos - OEA, realizada no Panamá, entre 25 de fevereiro a 01 de abril de 1966, com o objetivo de elaborar um anteprojeto de reforma da Carta da OEA, cujas linhas gerais haviam sido aprovadas na II Conferência Interamericana Extraordinária, realizada no Rio de Janeiro, em novembro de 1965. Entre os diversos documentos que compõem o dossiê encontram-se informes da imprensa sobre o andamento dos trabalhos da Comissão; correspondência com assuntos pessoais e administrativos tratados por Azeredo durante sua permanência no Panamá; documentos produzidos pela OEA e pelo Comitê Interamericano da Aliança para o Progresso (CIAP); além do Relatório da I Subcomissão (maio de 1966), abordando mudanças de ementas e decisões com relação a reforma da Carta tomadas pelas delegações participantes da Comissão";AAS oea 1966.02.01;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-participacao-de-azeredo-da-silveira-como-chefe-da-delegacao-brasileira-na-comissao-especial-da-organizacao-dos-estados-ame
