name_id,old_name,new_name
104303,a. a. fisher,"A. Fisher, A."
500001,a. azevedo,"Azevedo, A."
101196,a. bentinck,"Bentinck, A."
113218,a. f. susin,"F. Susin, A."
500002,a. faria,"Faria, A."
500003,a. i. de lima,A. I. de Lima
500004,a. j. peixoto de castro,"J. Peixoto de Castro, A."
102792,a. l. conrad,"L. Conrad, A."
108405,a. m. malik,"M. Malik, A."
108986,abdel meguid,"Meguid, Abdel"
101613,abdelaziz bouteflika,"Bouteflika, Abdelaziz"
103510,abdou diouf,"Diouf, Abdou"
114158,abdoulaye wade,"Wade, Abdoulaye"
109595,abel muzorewa,"Muzorewa, Abel"
500005,abgar renault,"Renault, Abgar"
107973,abraham lincoln,"Lincoln, Abraham"
500006,abreu lima,"Lima, Abreu"
500007,adalberto de barros nunes,"de Barros Nunes, Adalberto"
500008,adalberto pereira dos santos,"Pereira dos Santos, Adalberto"
500009,adalberto sena,"Sena, Adalberto"
108406,adam malik,"Malik, Adam"
500010,ademar de barros,"de Barros, Ademar"
500011,ademar de barros filho,"de Barros Filho, Ademar"
7334,adlai e. stevenson,"e. Stevenson, Adlai"
105970,adolf hitler,"Hitler, Adolf"
108115,adolfo lópez mateos,"López Mateos, Adolfo"
113141,adolfo suarez,"Suarez, Adolfo"
500013,adroaldo mesquita da costa,"Mesquita da Costa, Adroaldo"
500014,adyr fiúza de castro,"Fiúza de Castro, Adyr"
500015,affonso massot,"Massot, Affonso"
500016,afonso arinos de melo franco,"Arinos de Melo Franco, Afonso"
500017,afonso pena,"Pena, Afonso"
500018,afrânio coutinho,"Coutinho, Afrânio"
500019,afrânio de oliveira,"de Oliveira, Afrânio"
500020,afrânio nabuco,"Nabuco, Afrânio"
500021,agamenon magalhães,"Magalhães, Agamenon"
105450,agha abdul hamid,"Abdul Hamid, Agha"
112279,agha shahi,"Shahi, Agha"
110152,ahmed osman,"Osman, Ahmed"
500022,airton sandoval,"Sandoval, Airton"
500023,akasaka,Akasaka
100181,akihito,Akihito
110824,alain poher,"Poher, Alain"
106525,alan g. james,"G. James, Alan"
102962,alan m. cranston,"M. Cranston, Alan"
105415,albert c. hall,"C. Hall, Albert"
500024,albert einstein,"Einstein, Albert"
115461,albert fishlow,"Fishlow, Albert"
100206,albert i,Albert I
500025,albert probst,"Probst, Albert"
500026,alberto bins,"Bins, Alberto"
500027,alberto da costa e silva,"da Costa e Silva, Alberto"
500028,alberto de brito,"de Brito, Alberto"
500029,alberto de oliveira,"de Oliveira, Alberto"
115372,alberto demicheli,"Demicheli, Alberto"
109898,alberto franco nogueira,"Franco Nogueira, Alberto"
115565,alberto guzmán soriano,"Guzmán Soriano, Alberto"
116237,alberto juan vignes,"Juan Vignes, Alberto"
108041,alberto lleras camargo,"Lleras Camargo, Alberto"
500030,alberto nogués,"Nogués, Alberto"
500031,alberto pereira dos santos,"Pereira dos Santos, Alberto"
